,drive.current_mean_15_len_10_shift,drive.current_mean_45_len_10_shift,drive.current_min_45_len_5_shift,drive.current_max_90_len_5_shift,raw_mix.consumption_mean_15_len_10_shift,raw_mix.consumption_min_45_len_5_shift,raw_mix.consumption_mean_300_len_30_shift,raw_mix.moisture_avg_mean_60_len_15_shift,temp.out_mean_25_len_5_shift,temp.inlet_mean_25_len_5_shift,temp.out_min_25_len_5_shift,temp.inlet_max_30_len_5_shift,raw_mix.lab.measure.sito_009
206,80.75517323811849,80.26825493706598,74.09295654296875,90.69157409667967,249.4408957248264,241.5190002441406,224.54352372304945,21.76675033569336,97.31680358886719,486.53539794921875,94.58655548095705,493.9101867675781,16.0
207,87.25147857666016,82.5544921875,65.74047088623047,101.2899169921875,255.03468505859377,250.17450256347655,242.98991442083133,21.766039244333907,91.65781372070313,476.5287243652344,88.51033020019531,488.007568359375,17.3
208,84.31704711914062,70.20845319959852,42.422019958496094,97.7728500366211,252.21790791829426,249.7026397705078,249.94193689331854,21.779800415039062,95.88281494140625,486.1673486328125,84.15570068359375,493.21575927734375,19.2
209,86.83215891520182,86.30312160915798,79.7339096069336,92.5976791381836,252.69959459092883,249.74725850423178,253.15199010212282,21.774145126342773,95.64381591796875,479.0564331054687,94.18147277832033,483.8410339355469,21.0
210,85.04915466308594,83.9522093878852,62.2169075012207,94.1114273071289,256.1117263454861,253.07614237467448,254.61569136876102,21.752323468526203,98.81155517578125,479.13976318359374,95.59925842285156,484.0146179199219,20.7
211,84.60742696126302,84.29421997070312,76.4808120727539,94.60020446777344,254.4175680202908,252.9579345703125,255.2478200268869,21.775497563680013,97.61656341552734,474.26489501953125,83.95316314697266,487.6603698730469,20.2
212,81.58064168294271,83.0300035264757,76.46399688720703,93.89596557617188,254.62068406846785,251.8632619222005,256.1953504526699,23.343570200602212,99.07890808105469,471.7580224609375,91.8522491455078,476.3759460449219,18.0
214,72.75296198527018,80.23943625556097,61.06149291992188,96.08199310302734,235.9550617811415,232.10651550292968,239.43766730797884,23.51449966430664,107.3628271484375,466.6748254394531,96.915771484375,477.93841552734375,19.1
215,66.7741335550944,66.78560655381945,61.51605224609375,71.0149917602539,256.2905787489149,248.95197448730468,239.10731598460274,23.354432678222658,100.45618591308593,477.2370361328125,97.62466430664062,481.5841369628906,19.7
216,60.432594553629556,64.77632853190104,43.62809371948242,86.19769287109375,265.3662421948982,262.6831512451172,251.45467818874783,23.16333293914795,109.25050811767578,397.54475769042966,91.0420913696289,473.5982360839844,18.1
217,54.56371180216471,51.8410630967882,42.923072814941406,62.66888046264648,245.0249791124132,237.8021464029948,256.37509039827097,23.14699935913086,101.97119140625,464.3276647949219,92.35860443115234,470.6469421386719,17.8
218,77.62677408854167,69.33323754204645,53.65056228637695,82.27307891845703,250.6987666829427,222.75307006835936,247.4173709539071,21.339808400472005,99.09916259765625,444.578203125,97.0170440673828,449.64056396484375,19.8
219,82.70921681722005,81.77138264973958,65.17398071289062,92.4748992919922,263.87379435221357,256.48036600748696,247.41631440496104,21.359664567311604,98.45103210449219,464.10545166015623,94.48528289794922,468.910888671875,19.5
220,82.71001332600912,82.51825578477647,68.04293060302734,97.27045440673828,267.7148884412978,253.41077372233073,254.38738697147852,21.417200088500977,96.17447387695313,478.2717297363281,90.83954620361328,489.39642333984375,20.0
