iter	MAE
326	0.4339634829
327	0.4335754059
328	0.4321697208
329	0.4315573294
330	0.4310884695
331	0.4302191065
332	0.4296789457
333	0.4290386692
334	0.4278618776
335	0.4262637263
336	0.4257319574
337	0.4253391635
338	0.4246446765
339	0.4243120533
340	0.4237435586
341	0.4232024537
342	0.4227651778
343	0.4211789529
344	0.4196753263
345	0.4182308302
346	0.417518997
347	0.4169063045
348	0.4166627338
349	0.4159485013
350	0.414827185
351	0.4137120585
352	0.4128485449
353	0.4119768319
354	0.411483011
355	0.4102215181
356	0.4092659499
357	0.4084784836
358	0.4080016547
359	0.4075423632
360	0.4069629005
361	0.4066314817
362	0.4059596035
363	0.4056213954
364	0.4052088002
365	0.4047772671
366	0.4041434705
367	0.4037432051
368	0.4022066537
369	0.4020556394
370	0.4012844814
371	0.4003823871
372	0.3995664502
373	0.3977347526
374	0.3974573828
375	0.3968848323
376	0.3958727334
377	0.3951230939
378	0.394562068
379	0.3939317716
380	0.3936060054
381	0.3929802773
382	0.3922793574
383	0.3918460399
384	0.3915193595
385	0.3905802385
386	0.389521746
387	0.3892303729
388	0.3883263231
389	0.387130681
390	0.3866140466
391	0.385862433
392	0.3857208317
393	0.3853373968
394	0.3847906862
395	0.3842645763
396	0.3840515797
397	0.3839999242
398	0.3835860358
399	0.3828515442
400	0.3826810701
401	0.3824969333
402	0.3807106407
403	0.3804402481
404	0.3796085307
405	0.3787823386
406	0.3780532385
407	0.3773735704
408	0.3771120349
409	0.3765992678
410	0.3763427486
411	0.3761831768
412	0.3753642543
413	0.3749182819
414	0.3744769128
415	0.3739661987
416	0.3734725578
417	0.3729886097
418	0.3726641574
419	0.3717470759
420	0.3709151539
421	0.370680376
422	0.3697897727
423	0.3695915045
424	0.3689857899
425	0.3687235662
426	0.3677638343
427	0.3670058346
428	0.3661232622
429	0.3655627247
430	0.3649698517
431	0.3646471495
432	0.3644921841
433	0.364067134
434	0.3635688148
435	0.362232886
436	0.3618307766
437	0.3611986646
438	0.3603198068
439	0.360202945
440	0.3594726424
441	0.3588114751
442	0.3585769669
443	0.3574508022
444	0.3567606618
445	0.3566377009
446	0.3561732263
447	0.3559601971
448	0.3557324755
449	0.3554145737
450	0.3552287934
451	0.3548776072
452	0.3547265621
453	0.3533632976
454	0.3532886649
455	0.353169534
456	0.3524408919
457	0.3514081561
458	0.3511701947
459	0.3502540908
460	0.3497821256
461	0.349612314
462	0.3494511915
463	0.3489302602
464	0.3487362967
465	0.3482996986
466	0.3477526904
467	0.3475725231
468	0.3473899058
469	0.3465446181
470	0.3462828008
471	0.3462023687
472	0.3456061723
473	0.3450205821
474	0.3444122907
475	0.3438803206
476	0.3428524866
477	0.3420590707
478	0.3418183942
479	0.3411733184
480	0.3407438256
481	0.340576183
482	0.3404321332
483	0.3397819132
484	0.3391412045
485	0.3387600213
486	0.3385035338
487	0.3384285922
488	0.3383631366
489	0.338254675
490	0.3380764435
491	0.3378613981
492	0.3375963571
493	0.3374542504
494	0.3367721573
495	0.3360633037
496	0.335848954
497	0.3352718396
498	0.3348950074
499	0.3347371458
500	0.3340338776
501	0.3337686876
502	0.3336030077
503	0.3334961961
504	0.3334186807
505	0.3333213012
506	0.3329905122
507	0.3328882903
508	0.3325342055
509	0.3322864831
510	0.3318830328
511	0.3315937715
512	0.3312599921
513	0.3311530403
514	0.3310059955
515	0.3307195912
516	0.3301361785
517	0.3298264537
518	0.3297042095
519	0.3294578159
520	0.3292362109
521	0.328686451
522	0.3286101304
523	0.328430977
524	0.3280924289
525	0.3277099
526	0.3271967152
527	0.3270349499
528	0.3265808848
529	0.3263587375
530	0.3258104242
531	0.3257516326
532	0.3253757007
533	0.3252859197
534	0.3241880239
535	0.3239025763
536	0.3236494513
537	0.3232427271
538	0.322895399
539	0.322624773
540	0.3223759842
541	0.3220162725
542	0.3216940736
543	0.3210089476
544	0.3205255435
545	0.3203106919
546	0.3199910146
547	0.3196876827
548	0.3193021217
549	0.3191417676
550	0.3187441266
551	0.3186360736
552	0.3185794192
553	0.3178222831
554	0.3175491721
555	0.3173519919
556	0.3171723795
557	0.3163809371
558	0.3162881958
559	0.316174331
560	0.3160585496
561	0.3157204264
562	0.3156370356
563	0.3153935052
564	0.3151979192
565	0.3149173815
566	0.3146628378
567	0.3142719907
568	0.3139306166
569	0.3135479407
570	0.3132462736
571	0.3124228262
572	0.3118525872
573	0.3114977609
574	0.3108495785
575	0.3107682503
576	0.3104605324
577	0.3097821261
578	0.3095136404
579	0.3093692215
580	0.3091078679
581	0.3089954181
582	0.3086198341
583	0.3084507314
584	0.3083945246
585	0.3081733131
586	0.3079138122
587	0.3067750438
588	0.3065614219
589	0.3063842629
590	0.3061572261
591	0.3059570224
592	0.305670088
593	0.3055459289
594	0.3053314171
595	0.3046819902
596	0.3045262025
597	0.3043395775
598	0.3042047949
599	0.3040813283
600	0.303363265
601	0.303146293
602	0.3029959456
603	0.3027242565
604	0.3025286226
605	0.3017177788
606	0.3014352261
607	0.3009175293
608	0.3004814602
609	0.299759511
610	0.2996734831
611	0.2993939652
612	0.299252489
613	0.2987633139
614	0.2985803747
615	0.2984495232
616	0.2977924237
617	0.2970714338
618	0.2966053576
619	0.2964677781
620	0.2962881154
621	0.2960252344
622	0.2956426703
623	0.2954494331
624	0.2952604134
625	0.2945611457
626	0.2941933613
627	0.2940363015
628	0.2937796492
629	0.2935713239
630	0.2930658114
631	0.2928911468
632	0.2925733786
633	0.2923846386
634	0.2923236711
635	0.2921305114
636	0.2917546908
637	0.2915281146
638	0.2907149607
639	0.2903649026
640	0.2903375354
641	0.290214993
642	0.2900857523
643	0.2897675313
644	0.2894702479
645	0.2893567093
646	0.2893110665
647	0.2889408271
648	0.288645558
649	0.2885395543
650	0.2884093432
651	0.2883460771
652	0.2878707721
653	0.2875905739
654	0.2874811776
655	0.2874345403
656	0.2873554053
657	0.2871979117
658	0.287149895
659	0.2865880043
660	0.2864205576
661	0.2862310868
662	0.2860690388
663	0.2859265788
664	0.2858222669
665	0.2856752413
666	0.2853378986
667	0.2851550928
668	0.2850935781
669	0.2846664363
670	0.2842958162
671	0.2838308314
672	0.2836517002
673	0.2832501956
674	0.2830732146
675	0.2828206189
676	0.2827865824
677	0.2823242394
678	0.2822888801
679	0.2820584813
680	0.2815465506
681	0.2812569269
682	0.2811155179
683	0.28089802
684	0.2808320361
685	0.2806167892
686	0.2805669971
687	0.2805016958
688	0.2802582705
689	0.2801556887
690	0.2801203345
691	0.2800594751
692	0.279860552
693	0.2795748546
694	0.2794603313
695	0.2793730075
696	0.2792364928
697	0.2790393387
698	0.2788840422
699	0.2786569628
700	0.278493531
701	0.2784584957
702	0.278429136
703	0.2779177662
704	0.2778439609
705	0.2776013188
706	0.2774396606
707	0.2771214265
708	0.276837534
709	0.276578634
710	0.2765337238
711	0.2763283319
712	0.2759640686
713	0.2759136745
714	0.2757732147
715	0.2755213189
716	0.2754824675
717	0.2754511137
718	0.2752580773
719	0.2752321846
720	0.2751582139
721	0.2749572694
722	0.2746857006
723	0.274454073
724	0.2743616663
725	0.2740927578
726	0.2737706209
727	0.2735885739
728	0.2731946397
729	0.2730435176
730	0.2726217075
731	0.27254719
732	0.2717922754
733	0.2715634372
734	0.2715184666
735	0.2709890653
736	0.2707639906
737	0.2703680367
738	0.2701340626
739	0.2696777563
740	0.2693619695
741	0.2690393585
742	0.2688912269
743	0.2688399389
744	0.2686291439
745	0.2685878682
746	0.2684207283
747	0.2681286316
748	0.2680150016
749	0.2679786832
750	0.2678101005
751	0.2677466128
752	0.2675486508
753	0.2675307695
754	0.2674586075
755	0.2672811369
756	0.2671652945
757	0.2667600841
758	0.2666913715
759	0.266291543
760	0.2660291923
761	0.265691225
762	0.2654444945
763	0.265371655
764	0.265325287
765	0.2650823911
766	0.2650490129
767	0.2649191115
768	0.2644265038
769	0.2642419499
770	0.2640935671
771	0.263997247
772	0.2639762894
773	0.2638585489
774	0.2637817066
775	0.26354156
776	0.2631763686
777	0.2628278385
778	0.2627816054
779	0.2627051336
780	0.2623203952
781	0.2621202213
782	0.2620651081
783	0.2618740497
784	0.2616845593
785	0.2615799914
786	0.2613291167
787	0.2609511429
788	0.2607986004
789	0.2607295091
790	0.2604516072
791	0.2603356078
792	0.2602098586
793	0.2599570176
794	0.2594349508
795	0.2592897058
796	0.25919893
797	0.2591179032
798	0.2589140007
799	0.2588817991
